producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,60,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-frequency,0.5,frequency,1.0,tmpfs,5,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,10,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,15,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,20,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,30,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,35,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,36,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,50,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,52,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,54,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,57,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,58,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,59,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,60,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,5,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,10,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,15,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,20,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,30,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,35,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,36,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,50,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,52,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,54,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,57,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,58,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,59,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,60,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,5,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,10,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,15,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,20,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,30,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,35,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
